Departure_Regex,Arrival_Regex,Route,RNAV Required,Notes
KMIA|KOPF|KTMB|KHST|KX51|07FA,KTPA|KBKV|KZPH|X39|KVDF|KPCM|KLAL|X49|KBOW|KGIF|KCLW|KPIE|KSPG|KMCF|KTPF|KSRQ,..BNGOS#.COREA.BLFRG#,TRUE,"AoB FL240"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KTPA|KBKV|KZPH|X39|KVDF|KPCM|KLAL|X49|KBOW|KGIF|KCLW|KPIE|KSPG|KMCF|KTPF|KSRQ,..BNGOS#.COREA LBV ROGAN DCT,TRUE,"AoB FL240"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KTPA|KBKV|KZPH|X39|KVDF|KPCM|KLAL|X49|KBOW|KGIF|KCLW|KPIE|KSPG|KMCF|KTPF|KSRQ,..MIA#.BNGOS.LBV.BRIDGE#,FALSE,"AoB FL240"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KTPA|KBKV|KZPH|X39|KVDF|KPCM|KLAL|X49|KBOW|KGIF|KCLW|KPIE|KSPG|KMCF|KTPF|KSRQ,..MIA#.BNGOS LBV ROGAN DCT,FALSE,"AoB FL240"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KDAB|KEVB|KDED|KOMN|KFIN|X50,..LIFFR#.WIXED.VALKA.T208.SYMRA.DCT,TRUE,"AoB FL290"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KDAB|KEVB|KDED|KOMN|KFIN|X50,..MIA#.DORRL.CLEFF.T208.SYMRA.DCT,TRUE,"AoB FL290"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KPBI|KBCT|KLNA|F45|06FA|KPHK|X10|X58|KSUA|X52|X26,..ATONE.PBI.DCT,FALSE,"AoB 10000"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KFPR|KVRB,..ATONE.SMUGS.DCT,FALSE,"AoB 10000"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KRSW|KPGD|FA54|KFMY|X14|08FA|KIMM|KAPF|FA37|KMKY,..BNGOS#.MERKS.RSW.DCT,TRUE,"AoB 14000"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KRSW|KPGD|FA54|KFMY|X14|08FA|KIMM|KAPF|FA37|KMKY,..MIA#.BNGOS.RSW.DCT,FALSE,"AoB 14000"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KEYW|KNTX,..MAYNR#.GUCEL.DCT,TRUE,"AoB FL200"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KEYW|KNTX,..MIA#.MAYNR.GUCEL.DCT,FALSE,"AoB FL200"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KJAX,..FLMGO#.STYMY.ORL.HAINY.QUBEN#,TRUE,"AoB FL310"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KJAX,..MIA#.FLMGO.STYMY.ORL.POGIE#,FALSE,"AoB FL310"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KATL,..FLMGO#.STYMY.Q77.SHRKS.LAIRI.LARZZ (ANY STAR),TRUE,"No Alt restriction"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KATL,..MIA#.HURCN.JAYMC.SMELZ.Q116.JAWJA.SZW.LGC#,FALSE,"No Alt restriction"
KMIA|KOPF|KTMB|KHST|KX51|07FA,MYNN|MYEH|MYAF|MYEM|MYER,..KLADA#.RAJAY.ZQA.DCT,TRUE,"AoB FL230"
KMIA|KOPF|KTMB|KHST|KX51|07FA,MYNN|MYEH|MYAF|MYEM|MYER,..MIA#.KETLL.RAJAY.ZQA.DCT,FALSE,"AoB FL230"
KMIA|KOPF|KTMB|KHST|KX51|07FA,MYGF,..FOLZZ#.PADUS.DCT,TRUE,"AoB 15000"
KMIA|KOPF|KTMB|KHST|KX51|07FA,MYGF,..MIA#.FOLZZ.PADUS.DCT,FALSE,"AoB 15000"
KMIA|KOPF|KTMB|KHST|KX51|07FA,MYAM|MYAT,..FOLZZ#.ZFP.DCT,TRUE,"AoB FL230"
KMIA|KOPF|KTMB|KHST|KX51|07FA,MYAM|MYAT,..MIA#.FOLZZ.ZFP.DCT,FALSE,"AoB FL230"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KMTH,..MAYNR#.MAYNR.DCT,TRUE,"AoB 14000"
KMIA|KOPF|KTMB|KHST|KX51|07FA,KMTH,..MIA#.MAYNR.DCT,FALSE,"AoB 14000"
KMIA|KOPF|KTMB|KHST|KX51|07FA,MUHA,..GLADZ#.LULLS.Y196.CANOA.ENTRY#,TRUE,"Landing East "
KMIA|KOPF|KTMB|KHST|KX51|07FA,MUHA,..MAYNR#.CONOA.ENTRY#,TRUE,"Landing East "
KMIA|KOPF|KTMB|KHST|KX51|07FA,MUHA,..MIA#.MAYNR.CANOA.ENTRY#/AVERA#,FALSE,"Landing East "
KMIA|KOPF|KTMB|KHST|KX51|07FA,MUHA,..GLADZ#.LULLS.MAXIM.EPMAR#,TRUE,"Landing West "
KMIA|KOPF|KTMB|KHST|KX51|07FA,MUHA,..MAYNR#.MAXIM.EPMAR#,TRUE,"Landing West "
KMIA|KOPF|KTMB|KHST|KX51|07FA,MUHA,..MIA#.MAYNR.MAXIM.DCT,FALSE,"Landing West "
